address,tier,balance_ksm,frozen_ksm,sampled_votes,evidence
GZgn2Styf1XN2UzDL2amMxMZ5BZsbe8oJ6gmTN2DLBMkoNV,B,164293,140000,23,no on-chain identity; voted the same way as tier A in 18 of 18 shared referenda
GhQukvBXThCXETxGNzjJMpeCy3oSsfZmtVPJMVd1ov6NCkQ,B,162783,143000,20,no on-chain identity; voted the same way as tier A in 16 of 16 shared referenda
DXCungXJNFY8qCycRFFVjvFJb2xmkLmyoDvJiEv8sF1dCha,B,150938,130000,21,no on-chain identity; voted the same way as tier A in 17 of 17 shared referenda
DMHW1yWZS4qingUwcJRjZSJ8SvbvMUEKZL1oMiwcUXHBGWA,B,150650,150000,82,no on-chain identity; voted the same way as tier A in 81 of 81 shared referenda
FiWi4ufpytpMM3ivqfL3fE1j4jgyGLCJCspt24uJsXtUfiJ,B,150071,140000,23,no on-chain identity; voted the same way as tier A in 17 of 17 shared referenda
GfYQKqmtjo2xnoP2XARi1Qms2Z198drsvdQBgXaUgJiQcRE,B,135667,135500,23,no on-chain identity; voted the same way as tier A in 23 of 23 shared referenda
Cn4ySvWgpAqPVj1pwETTPd7eqpg85Cf3KGojG9CJfoK1gp8,B,135170,135000,66,no on-chain identity; voted the same way as tier A in 66 of 66 shared referenda
DzN3U69H7fZi7etx2UFVDBNoZ7oBi6wRWpf5d3ekU8c1ikb,B,130107,112000,20,no on-chain identity; voted the same way as tier A in 17 of 17 shared referenda
JLENz97TFT2kYaQmyCSEnBsK8VhaDZNmYATfsLCHyLF6Gzu,A,129505,129500,11,"source of a 5,000 KSM x6 Decentralized Voices delegation to: SAXEMBERG; SPACE_INVADER; The Kus KSM Delegate"
GecgyHrgdLEqkx34Ca5FW45QZ2wh66h3xbzzzgnxLKg2n8R,B,129501,129500,13,no on-chain identity; voted the same way as tier A in 13 of 13 shared referenda
HBVw5bpPWs3qwLq88YyovrXYDj6SUJvTwJ1oZi3J7JUwLx5,B,129501,129500,10,no on-chain identity; voted the same way as tier A in 10 of 10 shared referenda
CwCxSRmEQybec5sgiZuDxpYeSdusNcUXeTTB2RCsmiaWHxi,B,129501,129500,70,no on-chain identity; voted the same way as tier A in 70 of 70 shared referenda
HgTtJusFEn2gmMmB5wmJDnMRXKD6dzqCpNR7a99kkQ7BNvX,A,129501,129500,46,"source of a 5,000 KSM x6 Decentralized Voices delegation to: Alzymologist; Polkadot Hungary; 🥐 Le Nexus 🍷"
EX9uchmfeSqKTM7cMMg8DkH49XV8i4R7a7rqCn8btpZBHDP,A,129501,129500,88,"source of a 5,000 KSM x6 Decentralized Voices delegation to: GqC37KSFFeGAoL7YxSeP1YDwr85WJvLmDDQiSaprTDAm8Jj; Lucky Friday Governance 🍀; PERMANENCE DAO"
G1rrUNQSk7CjjEmLSGcpNu72tVtyzbWdUvgmSer9eBitXWf,A,129501,129500,49,"source of a 5,000 KSM x6 Decentralized Voices delegation to: ChaosDAO Referendum Commission; GykHmXkXiMHV2hnsMdZ7xE7zgd9tiwT8k787MovVavAVmTH; POLKAWORLD; PromoTeam Validator"
Emxxc2gJEw9T7FwsNr7WTyo5VueV4EjUqCuAq1pTggqQn95,A,123801,123700,46,"source of a 5,000 KSM x6 Decentralized Voices delegation to: Polkadot Poland Kusama Multisig"
FRHfjRA7J7xufd9ZeG7g9wNdtfc1Uty7BYNJzgrVzcmQ4Mg,B,123138,123000,20,no on-chain identity; voted the same way as tier A in 20 of 20 shared referenda
HoZB7m9t6ucQykb1SZoGuQUvVLpeFa8vQwy1ZSHuexFcC1X,B,108154,108000,5,no on-chain identity; voted the same way as tier A in 5 of 5 shared referenda
FFCCqFsYXyH9ftSwCyuE9u4Lce7m2tGzJo81GgGkZcKUBJU,B,108120,108000,5,no on-chain identity; voted the same way as tier A in 5 of 5 shared referenda
FrRVvtUNCnLvqvJxNrKAg9KVMtS52H574NCuSv98tUwhnMn,A,10004,5000,0,"source of a 5,000 KSM x6 Decentralized Voices delegation to: J9FdcwiNLso4hcJFTeQvy7f7zszGhKoVh5hdBM2qF7joJQa; JAM Implementers DAO; PBA_TIM; SAXEMBERG"
DAg8ajGfKYtmsCmdFurGbZ4gnfh6DYeNHK2L9VSNrwytgHd,A,5004,5000,0,"source of a 5,000 KSM x6 Decentralized Voices delegation to: Staker Space; Trustless Core; Trustless Core - Cohort 5; 🥐 Le Nexus 🍷"
CgnThbzAUfAhxTAHovd9sHyxLKASW12VkPyHE6GzLbf3TUV,B-proxy,1,0,25,voted #498 aye carrying delegation from a tier B account; holds ~1 KSM
FV6Rwx2nsgqjuh2Mk2wyAEsrCXL3jD74anWgAo3f2FshA3s,B-proxy,1,0,13,voted #498 aye carrying delegation from a tier B account; holds ~1 KSM
FLrVF3bYV7mUHmxPZMzpmTcRJkxVxQrDmkooSKM8RwXYDza,B,0,0,3,no on-chain identity; voted the same way as tier A in 3 of 3 shared referenda
