ref,delegator,delegated_ksm,conviction,share_of_chaosdao_delegated_capital
650,HqbM2RFKy1yyDQJTNpDreiaddaMFXfj1ymWA1sAapqbMhJq,80000.0,3,0.8395
650,Gr1u9zfZ9yjNEHytzi8KcAFoVo7DUWssWuDPmhvf87A1EjG,4500.0,4,0.0472
650,FHwmTGe4wsaNkekfrRHKxu9dqnMibh6HDhjxTWsHPvzRhqW,3798.0,3,0.0399
650,EG5FpzEAsgJxdc5xS8qFX9yKDnpn2sNqTSPr1v54sUr8E8F,2900.0,4,0.0304
650,G25QESHPzQXx3n9KJjcovkmFXJRBvXoCHZTF1ZfQk1A9e1A,2055.0,1,0.0216
650,HcA6jUpjTZM2o5sFZz4NNa6D9YMht2DpPhuLufvmj9T6gBQ,1000.0,5,0.0105
650,CaRRtraR9jdDmRA7HtbBWdswnTM11cRiTemDMsy1D2h2aLR,610.0,0,0.0064
650,EAfrwK6HXDYzMzfgwWYvDTFnK67ovXG13ezWMoeLFweKgNa,100.0,3,0.001
650,Ez4AsHErY6svADTciHB4VqdjmEUQsJKfZtsLFoe75sxiNYg,65.0,1,0.0007
650,GenJ7focERgRaYcThS3Qcj3HnXyL1DeqvtLh8L9TV6ho1zY,58.0,1,0.0006
650,HNg477iCuSSZMsWiaRbaRP1ZLRUBiWHZqSCEbnmL57UAaGv,21.0,4,0.0002
650,CwVE5LkNLqY7j8WV4tRJtDVFAkCnx2rhK6sgrVRN9YdNZqt,20.0,0,0.0002
650,DMarM298sHZ67b69upNpg8Caj7ngsvhELwH9T4TDNzxtgfi,18.49,4,0.0002
650,FnsrDX6rpYbPRqA1WfbpxUDoyxDZr245r9BYewiWYd4b4Jj,14.0,3,0.0001
650,FvaPKqA7x63Ru3qyVmC9Ky69vpprcjApsEH7m42BbTxr7J2,13.0,3,0.0001
650,EkntPBZ9cayLZZWW54B16RnKBMbM5RCFVuDWncfBX7RaeYN,12.2,6,0.0001
650,JCoHBV9niYT9GyBxAcw6H8BSkzfTLi4KK4Kfw62vj2kq2gt,12.09,4,0.0001
650,CuJponrxGjkppc7pHDv1Ce9Ms5crKicnaz9iKYiybq4e92j,11.0,3,0.0001
650,HtSKUKWRPCxCtzsnNfdbN1NN5uVq4yMizb2FqeHSC3YoRTi,11.0,1,0.0001
650,GAYBQX5f7NXS4dv5EnL7NRSGLnAQmoDqajx998nYLv8QoJT,10.0,0,0.0001
650,DiaryUSMoXwjs51RRLkZvtzfjHLAgmW91EdrtQcwjydcfX2,5.0,5,0.0001
650,JCHiMPr7628cvKNC5uz8XWCgADkCNuFuVqDmpXL2yF6Yqrn,5.0,4,0.0001
650,DrTrixNyrFd8CBBvL2oGFknHo3Laz2n9VcRKxRLAP2Mi9Q6,5.0,4,0.0001
650,DrTrixJQVC8Xugb4Nqb5BZcVdmY7RHCfcEwRLYR1sUpvQUe,5.0,4,0.0001
650,HsnrAsLAaG2hjjR5JN3ovx6n9v6fTxJ7UJMicgPiY9kX1mi,5.0,3,0.0001
650,GkHYmu1iaBHFSXfWt4hqjs6EqAAdgFd2XGKh9icAo9gsKrc,5.0,3,0.0001
650,Hec6PvCo6Pz8gvGRgZi7Anwo37nVMDkqVbNo69qDKtzvxHa,5.0,2,0.0001
650,HFfPhmHzYKFkN5fhuT7Bp14NUUJ3GaNnFNJBJXtp27aB542,5.0,0,0.0001
650,EnsbA7bPTAW8na4eQRuCvuEx7MHw41ewCW7aDFCsUXErg3D,4.9,2,0.0001
650,HsqjddXcYDzmyoP45LP4Sn5K584P7r4YLpxX34xfpZdiiZr,4.0,4,0.0
650,Hy8UnZSNvchEzKLBZ6X6qXq6xc8gVNGyo8ALuuNUXeTiD6K,2.0,2,0.0
650,DXeDEDip9Dp5dcDFGRnZDkUwehXVQvKsWWgg1oKnutAQYen,1.9,2,0.0
650,G77evQHx9yDYPHtGprocdPnB9tuq3oUr9ZHSuqjAKgdVakQ,1.81,4,0.0
650,HWCX9155Z3YbbXURM4X5GU7ZzVYt1esWLzoTRuLxHEntfzp,1.5,3,0.0
650,HP7YrjKopdW5B2wfXWJzhPDem5V2V3sENKoZgmEGrBbghuY,1.0,6,0.0
650,GP4X6kP8yRAy1rXgoh4wJBhWfWLs82wmmtFeoWHGnAN1x8q,1.0,6,0.0
650,EwQQ1gZapN96ByyLnsNpkjwE7i5hzSqTA614MJPnoyTfFGy,1.0,6,0.0
650,EPW3JaXmx928JjyiuvSXjTm8XcCV7Cz1Y37teN7S69VG9Kt,1.0,6,0.0
650,E4xv5y8j6qycjTCAb91hbjEaZH8H2MybwVW5HXi6iRpLeNh,1.0,6,0.0
650,DwFWewCgcfsXPSsR6uXFUQ9MGjrHxM8vpkXFD6J5APMewZn,1.0,6,0.0
650,DwE1LK2dXqbY7XeXRy9WviS3Px3pLXaAE395iN8DTFe11w5,1.0,6,0.0
650,Cx3DyStB662G6YuoSWJJEZ7M1PiKRsGhVKoLyEXHRaDrvbg,1.0,6,0.0
650,GU3hK7n82ttr8EcHmQ5mDmveFAKtDDKeSWizgCXs2xkgB4k,0.5,6,0.0
650,Cg2Bqvfu4X6z4wvRHx3Z7SjJumZcTALwgcXzR67f1vKDeZi,0.5,0,0.0
650,GqDvpiTTfYJdPVQF3za9NVeKkoJKXgyXFkA4XuBE6vikMts,0.23,6,0.0
650,GWxrWm5QN3iLAVk4y3YuETvveFm1GdTFFBufcmyqqRUhCoD,0.1,3,0.0
650,EzVt5Z3pddR55HnS637AEqTutcxPDMKux2JzjK7pDG85Nmz,0.1,3,0.0
650,DMhiYwVyU3bg4ok6btNC29hLuYVN63B2kZ33asVzR8o89f2,0.1,2,0.0
650,GPZkNLKkvLUdzBdExDK2Ci9UEx8mf895dTSoEZ76VUWgAVs,0.1,0,0.0
650,FkiGtJ2Z1EvrhftDobgq1nWnBeDwBpjzM8YG3bYMFXSTxs9,0.1,0,0.0
650,DQuQpWgGQQXNZ8sqotbRwMgYNG4PMsTLyQc9KkV4m9nuBcC,0.1,0,0.0
650,HnCFyEZ5sXoZ58QQGC3ukE38JJ3JFTxyc2aFKbFHv7KfupN,0.07,6,0.0
650,FtSr4numDQneau7PL9GuqroJAnX6pcEGATrvcH9pMRo3TQf,0.05,3,0.0
650,Fr2fiTHmkbW74KBLrVmBYWptt64SZKzxvqd9REFhfUveHn2,0.05,3,0.0
650,DdcN7iyyTwjadQh9R4wPDdab9QaBeEakSbEcv8dVajr3ANB,0.05,3,0.0
650,DcvJ3oHF8MSJxR3ksJZsXmYJcJta7iaT8TW49nW3bXKSM6E,0.05,3,0.0
650,H2aeTwQxZ3woMLn8nw7CAD7zL1GX1zo6LzoA1eswPxb5xWp,0.05,2,0.0
650,HxdozjMvEkqHhvDZ8r1JAMQWoSRkiPFa4eAZSUNncrPsLyZ,0.04,6,0.0
650,HqJqXa7LmQahLE7cYoaNSmpbK31AWkKPo5UzDgQZXuWE2yn,0.04,6,0.0
650,H9XpinWLVsVGWzEDTq5zLVGoBuZx7gV4ciHkAKM8dqQ4NCe,0.04,6,0.0
650,Gk8an9RBiZUppiWUJz1EShCBo6h93szMBmotERtEQdxExNL,0.04,6,0.0
650,GaMS88n6NFhwee83sM5w1XjKnQvXKrdR8Emh1fL4HjTEou2,0.04,6,0.0
650,FfFsu3936vgGabqUR5J4xnyeymo5Sr79Py4cV8nPrbPA7Vj,0.04,6,0.0
650,EaVGq74vdFZH62Wm8NxGYGgPsd33Muhvix1WuPkFFZdph4y,0.04,6,0.0
650,EK1Ms6khMup6ggmPDXdyFUPuCvYQksbUGs2sewxdnvP4ePq,0.04,6,0.0
650,DbEkhG9QPLZ6b4KU2cCdCdwj1C75Uqs9LABq3LKienjjekw,0.04,6,0.0
650,DVsR2uLRqmzRSrMsKK7fhfhTwFQsYcrK54PPEa3whETSurf,0.04,6,0.0
650,DQGcfyfCJL3jcRFUcvoTUNg1As9RgMAVi4sMrfLf3rRhagQ,0.04,6,0.0
650,CrMnpGwioAPCHESse2cNWMP5ELYQd3Bixz73Y5EXiKNFxN7,0.04,6,0.0
650,CgAYEKV1VaTPMeBzfYjGxgLL3gucve5a3QWC9pMLkZ8oDHC,0.04,6,0.0
650,J4JSjPxvL8TK2PA9DNHio5xGuYZ36uqGgjtX83REi3nR3dF,0.04,2,0.0
650,FDYQb5eK8ARC8gTi2xFaQuf4nzUPYibiDVckBQjbviTyNP1,0.02,4,0.0
650,HRpKDCCzKMvkmU4o3dEvtk4SQt1dzjFqjDHR1ouNhe1x1bF,0.02,2,0.0
650,H9wKUbGEwkd8HZptFnfwzxvfhicre1vJTwxHhG4W39Hhbqt,0.01,0,0.0
650,DXYZDV1ocjFihWfiqs5cKJzvvmxbpbURLXWH4ge3RdrVwXB,0.01,0,0.0
650,FcGDWDScXAYx1wTVg4654EAmVn1Hv2i5dr68sYH41KcdZVW,0.01,4,0.0
650,JHjTR5sJALfqH4kW2GGnbDi9UqBu8jZYD2BvHULE2Yb1PLo,0.01,3,0.0
650,HA4Rjed1RDuA4YVuWpxeJbfhisXCVUwTKUcoBTg4kRV5RXm,0.01,3,0.0
650,D2zcMV1NS5ZFJvsyXs8dE57jQJ5xic7ySPsHN6ABNuXXpYU,0.01,0,0.0
650,FohU9AY9aGpTownLc1u7kKdFeBYGyZqSd621UVgDNE6RQn4,0.0,6,0.0
650,H9oSxcoo42GNqH8gsGufwU6wT5vKrdb6voKwW7S2Z5uiRq6,0.0,6,0.0
650,GtiM6BuXiiB1DSxs5fnWGiHxn7Kjynmw7UJDeUorf6VR362,0.0,6,0.0
